Player 2;1575471508170;93
Player 1;1575471508171;91
Player 3;1575471508168;89
Player 1;1584569095709;26
Player 1;1584569099335;26
Player 1;1584618494029;26
Player 1;1584620500977;26
Player 1;1584620505610;26
Player 1;1584620321289;25
Player 1;1584620323589;25
Player 1;1584619259153;24
Player 1;1584619297740;24
AIhfv;1584619842243;24
Player 1;1584619700513;23
Player 1;1584619711327;23
Player 1;1584568469014;20
Player 1;1584568474029;20
Player 1;1584618613860;18
Player 1;1584618615730;18
Player 1;1584619967602;18
Player 1;1584619975266;18
Player 1;1584559159644;16
Player 1;1584558246748;14
Player 1;1584558248577;14
Player 1;1584619439872;14
Player 1;1584619458928;14
Player 1;1584558533616;12
Player 1;1584558533925;12
Player 1;1584559368532;12
Player 1;1584559370172;12
Player 1;1584618702536;12
Player 1;1584619751814;12
Player 1;1584642412853;42
